method_id,family,name,lane,goal,data,assumptions,workflow,diagnostics,robustness,packages,formula_ids,failure
M11,实验,实验室/现场/在线随机实验,因果识别,通过随机化估计干预效应与机制,处理分配、结果、预注册指标,随机化有效；SUTVA；流失与不依从可处理,理论→预注册→功效→随机化→操纵→估计→多重检验→外部效度,平衡、操纵检验、流失、不依从、干扰,ITT/TOT、随机化推断、分层、替代指标,R DeclareDesign; statsmodels; Qualtrics/oTree,EXP-01; EXP-02,事后改主指标、低功效或多重比较未校正
M12,定性研究,案例研究/访谈/扎根理论,探索与理论生成,解释新现象、过程与机制并生成理论,访谈、档案、观察、过程资料,理论抽样合理；证据链与反例处理透明,研究边界→理论抽样→协议→编码→范畴→机制→跨案例→饱和,编码一致性、负例、三角验证、研究者反思,替代解释、成员核验、审计轨迹、不同编码者,NVivo/Atlas.ti; Python/R text tooling,,把少数案例频数化，或没有证据链就做普遍因果主张
M13,证据综合,系统综述/文献计量/元分析,证据综合,系统识别、编码并综合研究结论,文献记录、效应量、编码表,检索与纳排可复现；效应量可比；偏倚可评估,协议→多库检索→去重→筛选→编码→质量→综合→偏倚→议程,覆盖率、双人一致性、发表偏倚、异质性,替代检索式、leave-one-out、质量加权、p-curve,ASReview; revtools; metafor; bibliometrix,META-01,只用单一关键词/数据库，或把引用量当质量
M14,设计科学,设计科学研究/Action Design Research,设计构建,构建并评估解决组织问题的人工制品,需求证据、构件日志、评估指标与场景数据,问题重要；设计知识可抽象；评估与主张匹配,问题→设计目标→构件→原型→评估→迭代→设计原则,效用、可用性、技术正确性、场景适配、可迁移性,多场景评估、基线、消融、对抗/极端案例,Git; experiment harness; UX analytics,DSR-01,只做软件开发，没有研究问题、评估和可迁移设计知识
M15,运筹优化,线性规划/混合整数规划,规范决策,在约束下求最优资源配置与计划,参数、决策变量、目标、约束,线性关系；参数口径一致；可行域与整数性正确,业务规则→变量→目标→约束→小例验证→求解→gap→敏感性,可行性、最优 gap、规模、对偶值、约束绑定,替代目标/权重、场景、松弛、warm start,Pyomo/PuLP/OR-Tools; Gurobi/CPLEX/HiGHS,OPT-01; OPT-02,模型可解但业务不可执行，或把单位/索引写错
M16,运筹优化,随机规划/鲁棒优化/机会约束,规范决策,在不确定性下给出可控风险的决策,场景/不确定集合/概率分布、成本与约束,不确定性表示与业务风险一致；样本外可验证,不确定源→场景/集合→两阶段/鲁棒模型→求解→样本外→保守度,样本外违约率、VSS/EVPI、价格鲁棒性、分布漂移,不同集合半径、bootstrap 场景、DRO、stress test,Pyomo; CVXPY; Gurobi; RSOME,OPT-03; OPT-04; OPT-05,在训练场景内漂亮、样本外失效；鲁棒半径任意
M17,动态决策,动态规划/MDP/强化学习,规范决策,在状态随时间演化时学习最优策略,状态、动作、转移、奖励、折扣/终止,马尔可夫性近似成立；奖励与真实目标一致；离线数据覆盖,状态/动作→Bellman→基线策略→求解/学习→离线评估→安全约束,收敛、策略价值、覆盖、分布外动作、奖励黑客,替代奖励、保守离线 RL、模拟器、策略约束,Gymnasium; Stable-Baselines3; Ray RLlib; JAX/PyTorch,STO-04; ML-05,只看累计奖励，不检查可解释性、安全与分布外风险
M18,随机系统,排队论/离散事件仿真/仿真优化,规范决策,评估拥堵、容量、服务和随机流程,到达/服务分布、流程、资源、策略,到达服务过程有可辩护模型；稳态/热身处理正确,流程映射→分布拟合→模型→验证→实验设计→置信区间→优化,守恒关系、热身期、独立重复、校准、极端负载,替代分布、压力场景、方差缩减、仿真优化,SimPy; AnyLogic; Arena; simmer,STO-01; STO-02,单次仿真当结论，或不做真实系统校准
M19,组合优化,网络流/选址/路径与调度,规范决策,优化物流、交通、网络设计和资源时空匹配,图、需求、容量、成本、时间窗,网络与约束真实；规模与求解策略匹配,图建模→基准 MILP→分解/启发式→算例→真实实例→敏感性,可行率、最优 gap、运行时、不同规模、业务 KPI,多初值、精确算法对照、消融、扰动测试,OR-Tools; NetworkX; PyVRP; Gurobi,OPT-06; OPT-07; OPT-08,只和弱基线比较，或测试实例与真实规模不匹配
M20,运营模型,库存/收益管理/定价,规范决策,平衡缺货、持有、容量与价格收益,需求分布、成本、提前期、容量、价格响应,需求和成本估计可用；政策边界清晰,需求→成本→基准模型→最优政策→估计/校准→仿真→敏感性,服务水平、缺货/积压、估计误差、非平稳性,分布鲁棒、滚动窗口、情景、行为偏差,Pyomo; scipy; inventory/forecast packages,OPT-09; OPT-10,用历史均值代替需求不确定性，或忽略执行约束
M21,解析建模,博弈论/机制设计/契约,机制解释,解释战略互动并设计激励、平台或供应链机制,参与者、行动、信息、效用/利润、时序,理性与信息结构适配；均衡存在/唯一性与边界明确,参与者→时序→收益→均衡→比较静态→福利→机制设计→数值校准,均衡多重性、参数边界、参与约束、社会福利,替代时序/信息、行为偏差、经验校准、数值全局搜索,Mathematica/Maple; SymPy; scipy/JAX,GAME-01; GAME-02; GAME-03,数学均衡漂亮但参数区间不现实、管理含义不可执行
M22,结构估计,离散选择/需求与结构模型,机制解释,估计偏好、替代关系与反事实政策,个体/市场选择、属性、价格、可用集合,效用设定合理；选择集正确；价格内生性处理,效用→选择集→识别→估计→拟合→弹性→反事实→福利,IIA、弱识别、价格内生、外部有效性,mixed logit、工具变量、不同市场定义、holdout,PyLogit; Biogeme; R mlogit; pyblp,DEMAND-01,遗漏选择集或忽略价格内生性
M23,时序预测,ARIMA/VAR/状态空间,预测与解释,预测单变量或多变量动态并分析冲击,等频时序、外生变量、足够历史,平稳/协整与误差结构可检验；无未来泄漏,时间切分→平稳性→基线→识别→估计→残差→滚动回测,ACF/PACF、单位根、残差白噪声、结构突变,滚动窗、不同滞后、状态空间、结构断点,statsmodels; sktime; R forecast/fable/vars,TIME-01; TIME-02,随机打乱时序交叉验证造成信息泄漏
M24,机器学习,监督学习/集成学习,预测计算,预测分类、回归、排序或风险,特征、标签、时间/组别结构,训练与部署分布可比；标签与决策目标一致,任务→切分→特征→基线→训练→调参→评估→解释→监控,泄漏、校准、组别/时间外推、类别不平衡,时间/组 CV、消融、外部测试、漂移与公平性,scikit-learn; XGBoost; LightGBM; CatBoost,ML-01; ML-02,只追求一个指标，不做基线、校准和决策价值评估
M25,文本与生成式AI,NLP/嵌入/主题与文本因果,预测计算,把论文、评论、公告和对话转为变量或预测,文本、时间戳、作者/实体、标签或弱监督,语料权限清楚；时间切分；标注有效；提示与模型版本可追踪,语料→清洗→标注→表示→模型→人工审计→稳定性→下游验证,标注一致性、漂移、幻觉、提示敏感、去标识化,多模型/提示、人工复核、词典基线、时间外测试,spaCy; transformers; sentence-transformers; BERTopic,ML-02; ML-04,把 LLM 输出直接当真值，或无法复现模型/提示版本
M26,网络科学,社会/供应链/金融网络分析,解释与预测,分析关系结构、传播、中心性与系统风险,节点、边、权重、时间或多层关系,边定义与缺失机制合理；网络边界清楚,关系定义→图构建→描述→中心性/社区→传播/因果→稳健性,边阈值、边界、同配性、置换、时间演化,替代边定义、随机网络基线、留边/留点、动态网络,NetworkX; igraph; graph-tool; PyG,NET-01,把中心性当因果影响，或忽略网络采样偏误
M27,贝叶斯,贝叶斯层级模型,实证解释,合并先验与数据、部分池化并传播不确定性,多层/小样本/异质群组数据,生成模型可辨识；先验可解释；采样收敛,DGP→先验→似然→后验采样→PPC→比较→决策,R-hat、ESS、发散、PPC、先验敏感性,弱/强先验、不同层级、LOO-CV、模拟校准,PyMC; Stan; brms,BAYES-01,只报告后验均值，不做收敛与后验预测检查
M28,复杂系统,主体仿真/系统动力学,探索与规范,研究涌现、反馈、扩散和非线性政策效果,规则、主体、网络、状态、校准目标,规则有证据基础；宏观模式可校准；不确定性透明,机制→主体规则→实现→验证→校准→实验→敏感性→模式解释,代码验证、模式复现、参数不可辨识、随机性,全局敏感性、替代规则、真实模式校准、重复实验,Mesa; NetLogo; AnyLogic; SALib,STO-03,用仿真讲故事而不做校准、验证和敏感性分析
